Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
tBTC USD,TBTC-USD,2020-11-16,16115.763671875,16706.3046875,16074.9560546875,16602.408203125,16602.408203125,50188
tBTC USD,TBTC-USD,2020-11-17,16580.0546875,17668.11328125,16456.642578125,17538.5,17538.5,52940
tBTC USD,TBTC-USD,2020-11-18,17539.21484375,18310.298828125,17282.01953125,17685.466796875,17685.466796875,43775
tBTC USD,TBTC-USD,2020-11-19,17687.10546875,18002.369140625,17298.248046875,17699.923828125,17699.923828125,19084
tBTC USD,TBTC-USD,2020-11-20,17699.443359375,18691.52734375,17653.35546875,18526.005859375,18526.005859375,28253
tBTC USD,TBTC-USD,2020-11-21,18525.265625,18831.73046875,18320.0625,18518.884765625,18518.884765625,26862
tBTC USD,TBTC-USD,2020-11-22,18519.25,18559.765625,17554.046875,18283.1796875,18283.1796875,30625
tBTC USD,TBTC-USD,2020-11-23,18281.845703125,18654.75,17937.541015625,18225.30859375,18225.30859375,30334
tBTC USD,TBTC-USD,2020-11-24,18237.28125,19215.060546875,18025.84765625,19111.04296875,19111.04296875,39927
tBTC USD,TBTC-USD,2020-11-25,19130.94140625,19544.439453125,18410.083984375,18560.951171875,18560.951171875,33992
tBTC USD,TBTC-USD,2020-11-26,18559.392578125,18685.263671875,16383.8642578125,17635.2265625,17635.2265625,72040
tBTC USD,TBTC-USD,2020-11-27,17658.291015625,17957.279296875,16526.787109375,17099.265625,17099.265625,37626
tBTC USD,TBTC-USD,2020-11-28,17099.04296875,17830.765625,16909.521484375,17675.27734375,17675.27734375,22699
tBTC USD,TBTC-USD,2020-11-29,17674.787109375,18249.7578125,17522.5078125,18153.865234375,18153.865234375,27847
tBTC USD,TBTC-USD,2020-11-30,18153.125,19697.48046875,18150.818359375,19654.990234375,19654.990234375,1077039
tBTC USD,TBTC-USD,2020-12-01,19655.673828125,19876.35546875,18072.142578125,18234.712890625,18234.712890625,890333
tBTC USD,TBTC-USD,2020-12-02,18233.708984375,19343.783203125,18170.5390625,19133.6328125,19133.6328125,218897
tBTC USD,TBTC-USD,2020-12-03,19133.43359375,19562.685546875,19008.576171875,19365.423828125,19365.423828125,42341
tBTC USD,TBTC-USD,2020-12-04,19363.32421875,19425.02734375,18566.052734375,18617.294921875,18617.294921875,370357
tBTC USD,TBTC-USD,2020-12-05,18616.107421875,19190.0546875,18136.080078125,18982.412109375,18982.412109375,48826
tBTC USD,TBTC-USD,2020-12-06,18983.453125,19400.99609375,18903.2734375,19358.103515625,19358.103515625,85117
tBTC USD,TBTC-USD,2020-12-07,19361.10546875,19388.31640625,19049.7421875,19177.3125,19177.3125,51362
tBTC USD,TBTC-USD,2020-12-08,19175.439453125,19243.6796875,17521.06640625,18062.662109375,18062.662109375,203153
tBTC USD,TBTC-USD,2020-12-09,18063.234375,18600.26171875,17699.91796875,18553.671875,18553.671875,53997
tBTC USD,TBTC-USD,2020-12-10,18544.572265625,18548.458984375,18071.767578125,18219.91015625,18219.91015625,41661
tBTC USD,TBTC-USD,2020-12-11,18215.318359375,18215.990234375,17745.9921875,18082.662109375,18082.662109375,240125
tBTC USD,TBTC-USD,2020-12-12,18079.939453125,19040.79296875,18079.939453125,18759.458984375,18759.458984375,135693
tBTC USD,TBTC-USD,2020-12-13,18766.623046875,19415.4609375,18731.162109375,19244.54296875,19244.54296875,45907
tBTC USD,TBTC-USD,2020-12-14,19239.0859375,19382.2734375,19092.326171875,19339.5390625,19339.5390625,28005
tBTC USD,TBTC-USD,2020-12-15,19332.39453125,21132.5390625,19202.00390625,19448.03515625,19448.03515625,216434
tBTC USD,TBTC-USD,2020-12-16,19447.529296875,21473.912109375,19377.05859375,21347.318359375,21347.318359375,139765
tBTC USD,TBTC-USD,2020-12-17,21346.96875,24372.353515625,21261.53515625,22820.1875,22820.1875,1262462
tBTC USD,TBTC-USD,2020-12-18,22838.42578125,23613.80078125,22435.859375,23008.005859375,23008.005859375,153312
tBTC USD,TBTC-USD,2020-12-19,23010.556640625,23875.509765625,22832.2890625,23875.509765625,23875.509765625,63181
tBTC USD,TBTC-USD,2020-12-20,23878.875,24047.65625,23132.771484375,23490.138671875,23490.138671875,1631652
tBTC USD,TBTC-USD,2020-12-21,23505.498046875,24067.96484375,22096.625,22973.388671875,22973.388671875,2012102
tBTC USD,TBTC-USD,2020-12-22,22969.8828125,23604.84375,22186.0546875,23592.998046875,23592.998046875,148968
tBTC USD,TBTC-USD,2020-12-23,23598.515625,23841.751953125,22575.63671875,23160.73828125,23160.73828125,285534
tBTC USD,TBTC-USD,2020-12-24,23148.556640625,23678.025390625,22309.6171875,23360.10546875,23360.10546875,1920961
tBTC USD,TBTC-USD,2020-12-25,23351.412109375,24572.0234375,23351.412109375,24531.076171875,24531.076171875,1628523
tBTC USD,TBTC-USD,2020-12-26,24524.4609375,26568.412109375,24392.345703125,26303.703125,26303.703125,2098302
tBTC USD,TBTC-USD,2020-12-27,26312.0390625,28510.419921875,26081.021484375,26469.708984375,26469.708984375,3281794
tBTC USD,TBTC-USD,2020-12-28,26438.654296875,27504.30859375,26378.962890625,27169.69921875,27169.69921875,940776
tBTC USD,TBTC-USD,2020-12-29,27170.078125,27489.607421875,26158.23046875,27482.19921875,27482.19921875,1213222
tBTC USD,TBTC-USD,2020-12-30,27481.326171875,29101.888671875,27481.326171875,28958.4375,28958.4375,2179462
tBTC USD,TBTC-USD,2020-12-31,28965.79296875,29370.798828125,28358.591796875,29098.3828125,29098.3828125,1359262
tBTC USD,TBTC-USD,2021-01-01,29089.51171875,29625.81640625,28897.65625,29433.701171875,29433.701171875,1030870
tBTC USD,TBTC-USD,2021-01-02,29433.53515625,33174.64453125,29148.69921875,32078.703125,32078.703125,3496981
tBTC USD,TBTC-USD,2021-01-03,32131.220703125,35297.65234375,32031.4609375,33793.9765625,33793.9765625,2761378
tBTC USD,TBTC-USD,2021-01-04,33712.98828125,34449.70703125,29380.89453125,32192.3984375,32192.3984375,1949396
tBTC USD,TBTC-USD,2021-01-05,32186.5078125,35416.109375,30482.794921875,35044.91015625,35044.91015625,1519090
tBTC USD,TBTC-USD,2021-01-06,35044.8984375,37845.32421875,34519.21875,37845.32421875,37845.32421875,2228948
tBTC USD,TBTC-USD,2021-01-07,37828.70703125,40879.45703125,37533.71875,40435.1484375,40435.1484375,1873488
tBTC USD,TBTC-USD,2021-01-08,40401.11328125,43030.203125,37799.359375,41827.70703125,41827.70703125,2011540
tBTC USD,TBTC-USD,2021-01-09,41805.1484375,42520.87109375,39947.6640625,41341.94140625,41341.94140625,886664
tBTC USD,TBTC-USD,2021-01-10,41340.88671875,42444.31640625,36917.71484375,39394.10546875,39394.10546875,2102193
tBTC USD,TBTC-USD,2021-01-11,39377.4375,39377.4375,31397.869140625,36554.0078125,36554.0078125,3847672
tBTC USD,TBTC-USD,2021-01-12,36496.26953125,37546.6171875,33511.36328125,34656.96484375,34656.96484375,1063445
tBTC USD,TBTC-USD,2021-01-13,34695.0625,37932.72265625,33596.5390625,37662.51171875,37662.51171875,1344833
tBTC USD,TBTC-USD,2021-01-14,37681.8046875,40333.55078125,37238.09765625,39604.171875,39604.171875,1534543
tBTC USD,TBTC-USD,2021-01-15,39602.9765625,39983.97265625,35138.265625,37121.9765625,37121.9765625,737145
tBTC USD,TBTC-USD,2021-01-16,37208.83984375,38249.01171875,36004.50390625,36594.1796875,36594.1796875,1244202
tBTC USD,TBTC-USD,2021-01-17,36583.45703125,37164.80078125,34512.8203125,36188.0234375,36188.0234375,1369874
tBTC USD,TBTC-USD,2021-01-18,36144.30859375,37721.0390625,35249.07421875,37024.66015625,37024.66015625,1371737
tBTC USD,TBTC-USD,2021-01-19,37012.4140625,38155.66796875,36597.14453125,37570.484375,37570.484375,1711092
tBTC USD,TBTC-USD,2021-01-20,37460.03125,37728.47265625,34830.9140625,36966.4375,36966.4375,582963
tBTC USD,TBTC-USD,2021-01-21,36900.265625,36932.33984375,30940.0078125,31973.927734375,31973.927734375,244111
tBTC USD,TBTC-USD,2021-01-22,31933.68359375,34962.58984375,30236.97265625,33615.12109375,33615.12109375,60295
tBTC USD,TBTC-USD,2021-01-23,33639.35546875,34457.12109375,32360.37890625,32590.966796875,32590.966796875,55372
tBTC USD,TBTC-USD,2021-01-24,32595.279296875,33871.453125,32090.9609375,33840.296875,33840.296875,28659
tBTC USD,TBTC-USD,2021-01-25,33837.19140625,35002.16015625,32707.40234375,32727.134765625,32727.134765625,44657
tBTC USD,TBTC-USD,2021-01-26,32725.9921875,33816.76171875,31707.248046875,32971.828125,32971.828125,171796
tBTC USD,TBTC-USD,2021-01-27,32948.515625,32950.53515625,29832.83203125,31011.962890625,31011.962890625,216885
tBTC USD,TBTC-USD,2021-01-28,31061.197265625,34013.53125,30691.19921875,33722.015625,33722.015625,293898
tBTC USD,TBTC-USD,2021-01-29,33727.85546875,38486.40625,32125.345703125,34636.58203125,34636.58203125,511855
tBTC USD,TBTC-USD,2021-01-30,34634.69140625,35463.3046875,32753.19140625,34712.8984375,34712.8984375,95783
tBTC USD,TBTC-USD,2021-01-31,34722.328125,34735.11328125,32908.4765625,33522.453125,33522.453125,132485
tBTC USD,TBTC-USD,2021-02-01,33527.58203125,34833.984375,32867.11328125,33868.65234375,33868.65234375,225143
tBTC USD,TBTC-USD,2021-02-02,33862.5546875,38304.98046875,33772.109375,36996.78515625,36996.78515625,291241
tBTC USD,TBTC-USD,2021-02-03,36987.21875,38201.984375,35942.53515625,37792.16796875,37792.16796875,351202
tBTC USD,TBTC-USD,2021-02-04,37811.72265625,38779.33984375,36551.84375,37530.20703125,37530.20703125,340168
tBTC USD,TBTC-USD,2021-02-05,37521.9296875,38723.61328125,37234.0234375,38603.87890625,38603.87890625,220438
tBTC USD,TBTC-USD,2021-02-06,38660.9921875,41415.26953125,38660.9921875,39786.91015625,39786.91015625,352851
tBTC USD,TBTC-USD,2021-02-07,39819.6328125,40109.05078125,38104.453125,39386.05078125,39386.05078125,200747
tBTC USD,TBTC-USD,2021-02-08,39383.18359375,47037.0390625,38579.4140625,47037.0390625,47037.0390625,655464
tBTC USD,TBTC-USD,2021-02-09,47069.91015625,49015.15625,45827.03515625,47227.8203125,47227.8203125,423392
tBTC USD,TBTC-USD,2021-02-10,47226.0625,47760.88671875,44559.83203125,45920.78125,45920.78125,465405
tBTC USD,TBTC-USD,2021-02-11,45864.21875,49052.3515625,45157.76171875,48682.48828125,48682.48828125,357907
tBTC USD,TBTC-USD,2021-02-12,48701.25390625,49644.03515625,47363.359375,48562.44140625,48562.44140625,271456
tBTC USD,TBTC-USD,2021-02-13,48550.0390625,48898.05078125,46878.60546875,47635.10546875,47635.10546875,217543
tBTC USD,TBTC-USD,2021-02-14,47647.6484375,50284.296875,47640.62109375,49466.58984375,49466.58984375,293604
tBTC USD,TBTC-USD,2021-02-15,49470.73046875,49614.34765625,46905.69140625,48787.66015625,48787.66015625,300999
tBTC USD,TBTC-USD,2021-02-16,48788.53125,50809.36328125,47728.09375,49848.3671875,49848.3671875,326844
tBTC USD,TBTC-USD,2021-02-17,49846.91796875,53268.484375,49633.9296875,52980.046875,52980.046875,413020
tBTC USD,TBTC-USD,2021-02-18,52979.35546875,53308.01171875,51954.15234375,52448.42578125,52448.42578125,171162
tBTC USD,TBTC-USD,2021-02-19,52434.23046875,56461.97265625,51766.62890625,56461.97265625,56461.97265625,410779
tBTC USD,TBTC-USD,2021-02-20,56453.140625,57968.80859375,54868.41015625,56233.84375,56233.84375,367542
tBTC USD,TBTC-USD,2021-02-21,56232.47265625,59413.5078125,55895.83203125,57968.1328125,57968.1328125,1533071
tBTC USD,TBTC-USD,2021-02-22,57963.98046875,58156.296875,49463.6484375,54477.34765625,54477.34765625,395064
tBTC USD,TBTC-USD,2021-02-23,54465.21484375,54465.21484375,46221.2890625,48944.6640625,48944.6640625,392961
tBTC USD,TBTC-USD,2021-02-24,49082.078125,53607.90234375,47780.58203125,51949.01171875,51949.01171875,394514
tBTC USD,TBTC-USD,2021-02-25,51979.12109375,53132.91796875,48876.53515625,49112.91015625,49112.91015625,226336
