Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Pepe Original Version USD,POV-USD,2023-05-03,0.0,0.0,0.0,0.0,0.0,36850070
Pepe Original Version USD,POV-USD,2023-05-04,0.0,0.0,0.0,0.0,0.0,15422793
Pepe Original Version USD,POV-USD,2023-05-05,0.0,0.0,0.0,0.0,0.0,8729515
Pepe Original Version USD,POV-USD,2023-05-06,0.0,0.0,0.0,0.0,0.0,5413522
Pepe Original Version USD,POV-USD,2023-05-07,0.0,0.0,0.0,0.0,0.0,4595712
Pepe Original Version USD,POV-USD,2023-05-08,0.0,0.0,0.0,0.0,0.0,3806070
Pepe Original Version USD,POV-USD,2023-05-09,0.0,0.0,0.0,0.0,0.0,1885977
Pepe Original Version USD,POV-USD,2023-05-10,0.0,0.0,0.0,0.0,0.0,1249310
Pepe Original Version USD,POV-USD,2023-05-11,0.0,0.0,0.0,0.0,0.0,1377714
Pepe Original Version USD,POV-USD,2023-05-12,0.0,0.0,0.0,0.0,0.0,1203776
Pepe Original Version USD,POV-USD,2023-05-13,0.0,0.0,0.0,0.0,0.0,3911362
Pepe Original Version USD,POV-USD,2023-05-14,0.0,0.0,0.0,0.0,0.0,1750242
Pepe Original Version USD,POV-USD,2023-05-15,0.0,0.0,0.0,0.0,0.0,2231172
Pepe Original Version USD,POV-USD,2023-05-16,0.0,0.0,0.0,0.0,0.0,3754460
Pepe Original Version USD,POV-USD,2023-05-17,0.0,0.0,0.0,0.0,0.0,2378716
Pepe Original Version USD,POV-USD,2023-05-18,0.0,0.0,0.0,0.0,0.0,932139
Pepe Original Version USD,POV-USD,2023-05-19,0.0,0.0,0.0,0.0,0.0,938051
Pepe Original Version USD,POV-USD,2023-05-20,0.0,0.0,0.0,0.0,0.0,508654
Pepe Original Version USD,POV-USD,2023-05-21,0.0,0.0,0.0,0.0,0.0,320442
Pepe Original Version USD,POV-USD,2023-05-22,0.0,0.0,0.0,0.0,0.0,479334
Pepe Original Version USD,POV-USD,2023-05-23,0.0,0.0,0.0,0.0,0.0,186144
Pepe Original Version USD,POV-USD,2023-05-24,0.0,0.0,0.0,0.0,0.0,291803
Pepe Original Version USD,POV-USD,2023-05-25,0.0,0.0,0.0,0.0,0.0,712728
Pepe Original Version USD,POV-USD,2023-05-26,0.0,0.0,0.0,0.0,0.0,159453
Pepe Original Version USD,POV-USD,2023-05-27,0.0,0.0,0.0,0.0,0.0,166402
Pepe Original Version USD,POV-USD,2023-05-28,0.0,0.0,0.0,0.0,0.0,669408
Pepe Original Version USD,POV-USD,2023-05-29,0.0,0.0,0.0,0.0,0.0,174572
Pepe Original Version USD,POV-USD,2023-05-30,0.0,0.0,0.0,0.0,0.0,50570
Pepe Original Version USD,POV-USD,2023-05-31,0.0,0.0,0.0,0.0,0.0,131175
Pepe Original Version USD,POV-USD,2023-06-01,0.0,0.0,0.0,0.0,0.0,61890
Pepe Original Version USD,POV-USD,2023-06-02,0.0,0.0,0.0,0.0,0.0,103323
Pepe Original Version USD,POV-USD,2023-06-03,0.0,0.0,0.0,0.0,0.0,148013
Pepe Original Version USD,POV-USD,2023-06-04,0.0,0.0,0.0,0.0,0.0,266496
Pepe Original Version USD,POV-USD,2023-06-05,0.0,0.0,0.0,0.0,0.0,89392
Pepe Original Version USD,POV-USD,2023-06-06,0.0,0.0,0.0,0.0,0.0,49272
Pepe Original Version USD,POV-USD,2023-06-07,0.0,0.0,0.0,0.0,0.0,49926
Pepe Original Version USD,POV-USD,2023-06-08,0.0,0.0,0.0,0.0,0.0,9718
Pepe Original Version USD,POV-USD,2023-06-09,0.0,0.0,0.0,0.0,0.0,212279
Pepe Original Version USD,POV-USD,2023-06-10,0.0,0.0,0.0,0.0,0.0,148266
Pepe Original Version USD,POV-USD,2023-06-11,0.0,0.0,0.0,0.0,0.0,52775
Pepe Original Version USD,POV-USD,2023-06-12,0.0,0.0,0.0,0.0,0.0,195030
Pepe Original Version USD,POV-USD,2023-06-13,0.0,0.0,0.0,0.0,0.0,41459
Pepe Original Version USD,POV-USD,2023-06-14,0.0,0.0,0.0,0.0,0.0,180758
