Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Tomb Shares USD,TSHARE-USD,2022-01-06,14752.9814453125,15299.5390625,13160.1572265625,14523.140625,14523.140625,52111689
Tomb Shares USD,TSHARE-USD,2022-01-07,14523.140625,16870.484375,13124.9443359375,13124.9443359375,13124.9443359375,38293316
Tomb Shares USD,TSHARE-USD,2022-01-08,13124.9443359375,13910.26953125,8536.689453125,10394.529296875,10394.529296875,55128362
Tomb Shares USD,TSHARE-USD,2022-01-09,10394.529296875,13258.107421875,9937.478515625,12826.8095703125,12826.8095703125,28059597
Tomb Shares USD,TSHARE-USD,2022-01-10,12826.8095703125,15003.8681640625,11409.853515625,11932.4169921875,11932.4169921875,41165086
Tomb Shares USD,TSHARE-USD,2022-01-11,11931.716796875,18157.94921875,11401.1884765625,17446.318359375,17446.318359375,61154132
Tomb Shares USD,TSHARE-USD,2022-01-12,17446.443359375,21848.966796875,17446.443359375,20498.119140625,20498.119140625,25555705
Tomb Shares USD,TSHARE-USD,2022-01-13,20497.83984375,20803.962890625,18679.041015625,19741.880859375,19741.880859375,30247232
Tomb Shares USD,TSHARE-USD,2022-01-14,19742.576171875,19916.09375,17394.595703125,18920.78125,18920.78125,16592132
Tomb Shares USD,TSHARE-USD,2022-01-15,18920.787109375,19024.4375,18176.21484375,18889.2421875,18889.2421875,14029954
Tomb Shares USD,TSHARE-USD,2022-01-16,18889.2421875,21394.162109375,18807.060546875,21047.6875,21047.6875,18767121
Tomb Shares USD,TSHARE-USD,2022-01-17,21047.6875,21497.1953125,17892.2578125,19066.212890625,19066.212890625,20797862
Tomb Shares USD,TSHARE-USD,2022-01-18,19066.21484375,19340.22265625,15397.4580078125,18553.14453125,18553.14453125,45818329
Tomb Shares USD,TSHARE-USD,2022-01-19,18553.318359375,18673.09765625,14457.2431640625,16153.2158203125,16153.2158203125,38424924
Tomb Shares USD,TSHARE-USD,2022-01-20,16153.2158203125,16540.509765625,13850.7900390625,13850.791015625,13850.791015625,28738718
Tomb Shares USD,TSHARE-USD,2022-01-21,13850.791015625,14835.814453125,9398.427734375,10692.1220703125,10692.1220703125,44579619
Tomb Shares USD,TSHARE-USD,2022-01-22,10692.130859375,12788.6669921875,8752.4677734375,9521.064453125,9521.064453125,39412333
Tomb Shares USD,TSHARE-USD,2022-01-23,9521.064453125,11944.775390625,9004.560546875,9633.12890625,9633.12890625,26250219
Tomb Shares USD,TSHARE-USD,2022-01-24,9633.12890625,9641.8359375,7067.7421875,8994.40234375,8994.40234375,38684358
Tomb Shares USD,TSHARE-USD,2022-01-25,8994.3271484375,11407.767578125,8366.20703125,11153.923828125,11153.923828125,33403244
Tomb Shares USD,TSHARE-USD,2022-01-26,11153.923828125,12413.8154296875,9934.3369140625,11009.3681640625,11009.3681640625,34653796
Tomb Shares USD,TSHARE-USD,2022-01-27,11009.3681640625,11694.8544921875,9488.787109375,9846.3740234375,9846.3740234375,27935316
Tomb Shares USD,TSHARE-USD,2022-01-28,9846.3740234375,11006.92578125,9773.3388671875,10554.435546875,10554.435546875,18778911
Tomb Shares USD,TSHARE-USD,2022-01-29,10554.435546875,12576.5927734375,10513.658203125,12148.53515625,12148.53515625,16495329
Tomb Shares USD,TSHARE-USD,2022-01-30,12148.53515625,12557.55859375,11183.2900390625,11569.4912109375,11569.4912109375,18566731
Tomb Shares USD,TSHARE-USD,2022-01-31,11569.4912109375,13242.4951171875,10749.39453125,13082.2119140625,13082.2119140625,18434212
