Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Foxe USD,FOXE-USD,2023-05-06,0.0,0.0,0.0,0.0,0.0,17404474
Foxe USD,FOXE-USD,2023-05-07,0.0,0.0,0.0,0.0,0.0,2808769
Foxe USD,FOXE-USD,2023-05-08,0.0,0.0,0.0,0.0,0.0,367128
Foxe USD,FOXE-USD,2023-05-09,0.0,0.0,0.0,0.0,0.0,368708
Foxe USD,FOXE-USD,2023-05-10,0.0,0.0,0.0,0.0,0.0,110493
Foxe USD,FOXE-USD,2023-05-11,0.0,0.0,0.0,0.0,0.0,108227
Foxe USD,FOXE-USD,2023-05-12,0.0,0.0,0.0,0.0,0.0,39823
Foxe USD,FOXE-USD,2023-05-13,0.0,0.0,0.0,0.0,0.0,14894
Foxe USD,FOXE-USD,2023-05-14,0.0,0.0,0.0,0.0,0.0,10477
Foxe USD,FOXE-USD,2023-05-15,0.0,0.0,0.0,0.0,0.0,4263
Foxe USD,FOXE-USD,2023-05-16,0.0,0.0,0.0,0.0,0.0,5992
Foxe USD,FOXE-USD,2023-05-17,0.0,0.0,0.0,0.0,0.0,6209
Foxe USD,FOXE-USD,2023-05-18,0.0,0.0,0.0,0.0,0.0,5851
Foxe USD,FOXE-USD,2023-05-19,0.0,0.0,0.0,0.0,0.0,6511
Foxe USD,FOXE-USD,2023-05-20,0.0,0.0,0.0,0.0,0.0,8775
Foxe USD,FOXE-USD,2023-05-21,0.0,0.0,0.0,0.0,0.0,1445
Foxe USD,FOXE-USD,2023-05-22,0.0,0.0,0.0,0.0,0.0,18256
Foxe USD,FOXE-USD,2023-05-23,0.0,0.0,0.0,0.0,0.0,1500
Foxe USD,FOXE-USD,2023-05-24,0.0,0.0,0.0,0.0,0.0,3064
Foxe USD,FOXE-USD,2023-05-25,0.0,0.0,0.0,0.0,0.0,61979
Foxe USD,FOXE-USD,2023-05-26,0.0,0.0,0.0,0.0,0.0,129653
Foxe USD,FOXE-USD,2023-05-27,0.0,0.0,0.0,0.0,0.0,5567
Foxe USD,FOXE-USD,2023-05-28,0.0,0.0,0.0,0.0,0.0,6301
Foxe USD,FOXE-USD,2023-05-29,0.0,0.0,0.0,0.0,0.0,2038
Foxe USD,FOXE-USD,2023-05-30,0.0,0.0,0.0,0.0,0.0,45006
Foxe USD,FOXE-USD,2023-05-31,0.0,0.0,0.0,0.0,0.0,340
Foxe USD,FOXE-USD,2023-06-01,0.0,0.0,0.0,0.0,0.0,1250
Foxe USD,FOXE-USD,2023-06-02,0.0,0.0,0.0,0.0,0.0,250
Foxe USD,FOXE-USD,2023-06-03,0.0,0.0,0.0,0.0,0.0,2944
Foxe USD,FOXE-USD,2023-06-04,0.0,0.0,0.0,0.0,0.0,165
Foxe USD,FOXE-USD,2023-06-05,0.0,0.0,0.0,0.0,0.0,1358
Foxe USD,FOXE-USD,2023-06-06,0.0,0.0,0.0,0.0,0.0,1268
Foxe USD,FOXE-USD,2023-06-07,0.0,0.0,0.0,0.0,0.0,10
Foxe USD,FOXE-USD,2023-06-08,0.0,0.0,0.0,0.0,0.0,1222
Foxe USD,FOXE-USD,2023-06-09,0.0,0.0,0.0,0.0,0.0,239
Foxe USD,FOXE-USD,2023-06-10,0.0,0.0,0.0,0.0,0.0,28
Foxe USD,FOXE-USD,2023-06-11,0.0,0.0,0.0,0.0,0.0,65
Foxe USD,FOXE-USD,2023-06-12,0.0,0.0,0.0,0.0,0.0,315
Foxe USD,FOXE-USD,2023-06-14,0.0,0.0,0.0,0.0,0.0,1
Foxe USD,FOXE-USD,2023-06-15,0.0,0.0,0.0,0.0,0.0,3061
Foxe USD,FOXE-USD,2023-06-16,0.0,0.0,0.0,0.0,0.0,51
Foxe USD,FOXE-USD,2023-06-17,0.0,0.0,0.0,0.0,0.0,3242
Foxe USD,FOXE-USD,2023-06-18,0.0,0.0,0.0,0.0,0.0,492
Foxe USD,FOXE-USD,2023-06-19,0.0,0.0,0.0,0.0,0.0,4500
Foxe USD,FOXE-USD,2023-06-22,0.0,0.0,0.0,0.0,0.0,20
Foxe USD,FOXE-USD,2023-06-23,0.0,0.0,0.0,0.0,0.0,39
Foxe USD,FOXE-USD,2023-06-24,0.0,0.0,0.0,0.0,0.0,290
Foxe USD,FOXE-USD,2023-06-26,0.0,0.0,0.0,0.0,0.0,730
Foxe USD,FOXE-USD,2023-06-27,0.0,0.0,0.0,0.0,0.0,65
Foxe USD,FOXE-USD,2023-06-28,0.0,0.0,0.0,0.0,0.0,53
Foxe USD,FOXE-USD,2023-06-30,0.0,0.0,0.0,0.0,0.0,65
Foxe USD,FOXE-USD,2023-07-02,0.0,0.0,0.0,0.0,0.0,192
