Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Derp Coin USD,DERP24955-USD,2023-05-05,1.999999994950485e-06,3.999999989900971e-06,0.0,9.999999974752427e-07,9.999999974752427e-07,6317925
Derp Coin USD,DERP24955-USD,2023-05-06,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1382165
Derp Coin USD,DERP24955-USD,2023-05-07,9.999999974752427e-07,1.999999994950485e-06,0.0,9.999999974752427e-07,9.999999974752427e-07,244380
Derp Coin USD,DERP24955-USD,2023-05-08,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,111844
Derp Coin USD,DERP24955-USD,2023-05-09,0.0,4.999999873689376e-06,0.0,3.000000106112566e-06,3.000000106112566e-06,1970620
Derp Coin USD,DERP24955-USD,2023-05-10,3.000000106112566e-06,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,764466
Derp Coin USD,DERP24955-USD,2023-05-11,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,626719
Derp Coin USD,DERP24955-USD,2023-05-12,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,146957
Derp Coin USD,DERP24955-USD,2023-05-13,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,74963
Derp Coin USD,DERP24955-USD,2023-05-14,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,48144
Derp Coin USD,DERP24955-USD,2023-05-15,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,106505
Derp Coin USD,DERP24955-USD,2023-05-16,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.999999994950485e-06,1.999999994950485e-06,474280
Derp Coin USD,DERP24955-USD,2023-05-17,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,464787
Derp Coin USD,DERP24955-USD,2023-05-18,1.999999994950485e-06,3.999999989900971e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1470541
Derp Coin USD,DERP24955-USD,2023-05-19,1.999999994950485e-06,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,280070
Derp Coin USD,DERP24955-USD,2023-05-20,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,153506
Derp Coin USD,DERP24955-USD,2023-05-21,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,92105
Derp Coin USD,DERP24955-USD,2023-05-22,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,118853
Derp Coin USD,DERP24955-USD,2023-05-23,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,134338
Derp Coin USD,DERP24955-USD,2023-05-24,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,131504
Derp Coin USD,DERP24955-USD,2023-05-25,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,123644
Derp Coin USD,DERP24955-USD,2023-05-26,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,275701
Derp Coin USD,DERP24955-USD,2023-05-27,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,94581
Derp Coin USD,DERP24955-USD,2023-05-28,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,153132
Derp Coin USD,DERP24955-USD,2023-05-29,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,140036
Derp Coin USD,DERP24955-USD,2023-05-30,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,93077
Derp Coin USD,DERP24955-USD,2023-05-31,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,107453
Derp Coin USD,DERP24955-USD,2023-06-01,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,100122
Derp Coin USD,DERP24955-USD,2023-06-02,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,104217
Derp Coin USD,DERP24955-USD,2023-06-03,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,105393
Derp Coin USD,DERP24955-USD,2023-06-04,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,95364
Derp Coin USD,DERP24955-USD,2023-06-05,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,113310
Derp Coin USD,DERP24955-USD,2023-06-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,118274
Derp Coin USD,DERP24955-USD,2023-06-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,106007
Derp Coin USD,DERP24955-USD,2023-06-08,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,101735
Derp Coin USD,DERP24955-USD,2023-06-09,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,97598
Derp Coin USD,DERP24955-USD,2023-06-10,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,83475
Derp Coin USD,DERP24955-USD,2023-06-11,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,100198
Derp Coin USD,DERP24955-USD,2023-06-12,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,107971
Derp Coin USD,DERP24955-USD,2023-06-13,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,88635
Derp Coin USD,DERP24955-USD,2023-06-14,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,91593
Derp Coin USD,DERP24955-USD,2023-06-15,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,85556
Derp Coin USD,DERP24955-USD,2023-06-16,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,69190
Derp Coin USD,DERP24955-USD,2023-06-17,0.0,9.999999974752427e-07,0.0,0.0,0.0,4050
Derp Coin USD,DERP24955-USD,2023-06-18,0.0,0.0,0.0,0.0,0.0,194
Derp Coin USD,DERP24955-USD,2023-06-19,0.0,0.0,0.0,0.0,0.0,132
Derp Coin USD,DERP24955-USD,2023-06-20,0.0,0.0,0.0,0.0,0.0,10094
Derp Coin USD,DERP24955-USD,2023-06-21,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,54931
Derp Coin USD,DERP24955-USD,2023-06-22,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,73210
